ident,birthdate
1708,1962
1063,1913
1350,1905
1676,1954
663,1946
879,1926
142,1917
1345,1948
1311,1935
1684,1973
576,1938
1397,1949
791,1911
1256,1944
1024,1894
571,1871
95,1939
305,1912
253,1922
1166,1913
1416,1958
1531,1961
1707,1952
528,1956
399,1935
17,1889
906,1959
679,1940
1013,1908
1681,1943
1207,1956
808,1903
1154,1916
741,1928
709,1892
604,1936
440,1932
717,1921
1025,1931
1241,1934
1432,1969
266,1903
1745,1928
1750,1955
825,1942
331,1916
1699,1961
1701,1966
1413,1963
1691,1948
735,1931
89,1939
1255,1925
1714,1952
76,1875
1369,1952
1318,1944
480,1948
579,1931
1102,1929
1619,1937
415,1928
572,1952
830,1938
653,1948
1028,1925
91,1869
1741,1948
1042,1949
57,1913
482,1941
56,1940
1646,1963
775,1942
727,1926
1145,1909
1219,1875
1546,1938
928,1928
998,1929
584,1935
500,1896
1758,1966
788,1935
1662,1915
1275,1927
280,1934
611,1927
1335,1920
770,1868
1076,1933
1590,1964
106,1949
1489,1953
270,1940
897,1937
1457,1958
1244,1957
1123,1902
1661,1953
1633,1947
1001,1910
1574,1947
777,1962
1391,1971
705,1945
367,1950
1365,1965
1257,1937
226,1878
173,1927
914,1943
1695,1967
1352,1936
426,1945
1719,1959
802,1900
1414,1943
1290,1934
782,1919
1394,1965
461,1950
503,1895
1053,1912
783,1926
293,1939
736,1943
870,1952
598,1914
61,1928
1463,1956
952,1929
488,1923
867,1946
940,1911
48,1918
457,1924
1523,1963
927,1932
863,1920
1171,1934
1456,1974
1551,1957
1,1881
315,1933
1196,1902
468,1937
282,1920
1761,1949
234,1932
370,1915
1099,1938
87,1906
1503,1941
1556,1959
1641,1952
529,1929
210,1930
1748,1939
352,1924
1504,1938
476,1911
1379,1970
393,1912
938,1903
901,1954
702,1932
761,1938
1742,1948
1596,1964
1363,1925
1344,1948
1672,1964
1317,1915
77,1934
301,1952
1586,1945
1385,1973
366,1950
1729,1941
1496,1951
1533,1982
359,1902
1595,1952
135,1946
55,1934
1591,1967
1474,1941
357,1930
536,1902
5,1923
606,1947
1541,1947
994,1905
1091,1952
475,1941
1709,1954
905,1943
381,1937
883,1932
1101,1923
1188,1894
731,1939
235,1894
683,1923
1118,1902
1666,1953
288,1920
989,1947
1517,1952
1157,1931
1274,1920
1426,1941
1658,1948
505,1950
1124,1915
1041,1942
258,1928
444,1890
392,1929
501,1932
1376,1966
1530,1961
873,1952
605,1948
1437,1954
1458,1955
188,1938
608,1922
574,1913
1726,1949
866,1933
912,1932
1492,1959
1462,1952
332,1924
141,1887
1733,1948
1755,1936
1645,1968
577,1895
1431,1945
1092,1924
772,1930
112,1944
621,1940
1447,1902
1694,1960
957,1893
274,1923
1366,1966
1107,1914
1583,1945
1295,1886
454,1920
1443,1947
131,1870
1294,1910
32,1928
3,1930
433,1898
823,1940
1134,1921
784,1915
30,1915
355,1929
376,1956
478,1939
599,1923
929,1938
1058,1947
964,1944
973,1929
1146,1925
544,1946
45,1939
1751,1945
1763,1934
1291,1941
920,1947
317,1927
1683,1935
37,1947
497,1907
1336,1965
1621,1949
1390,1955
496,1923
1455,1944
251,1893
473,1878
547,1914
1297,1942
650,1914
660,1923
1237,1950
1174,1937
1539,1944
550,1938
335,1935
1417,1962
1579,1948
134,1844
1117,1901
1045,1950
254,1905
111,1897
1403,1941
325,1920
860,1913
1481,1945
1197,1946
1558,1950
1589,1978
658,1914
1499,1953
733,1907
1720,1976
977,1888
1538,1963
1234,1884
276,1913
185,1874
656,1953
1550,1942
549,1956
487,1918
551,1913
40,1924
603,1929
221,1930
1438,1941
228,1959
1600,1931
374,1901
1126,1918
930,1946
1404,1965
639,1954
1143,1909
1744,1925
999,1893
1525,1936
336,1931
1338,1962
1740,1954
877,1947
319,1888
630,1930
1151,1941
291,1948
1760,1977
306,1922
504,1936
320,1932
764,1942
326,1925
240,1955
1554,1956
1700,1951
1389,1956
1625,1946
992,1949
1512,1927
256,1945
1545,1951
1606,1952
1062,1923
553,1933
1446,1965
542,1919
708,1908
318,1918
1010,1909
245,1937
1172,1933
1402,1956
1047,1934
878,1935
556,1940
137,1927
1649,1950
70,1899
421,1918
601,1927
881,1941
1280,1947
976,1941
602,1935
864,1921
1688,1957
458,1888
1368,1960
1592,1962
857,1950
1756,1929
1170,1935
62,1906
1754,1953
1680,1949
1435,1954
437,1905
1736,1969
120,1935
1408,1962
1706,1926
1725,1959
880,1948
1743,1951
1548,1946
915,1940
481,1942
1448,1943
887,1909
434,1951
283,1941
618,1909
180,1954
1615,1967
1075,1907
899,1940
1085,1928
902,1942
592,1935
742,1941
1616,1968
589,1940
1334,1925
1032,1944
1773,1956
373,1924
1281,1935
269,1920
1056,1922
195,1896
525,1859
1507,1924
1054,1886
238,1946
4,1948
785,1927
1362,1934
1702,1941
757,1942
1603,1964
1670,1952
507,1959
427,1941
178,1917
909,1908
1243,1921
1216,1927
1652,1965
932,1927
1187,1922
168,1902
1086,1914
1678,1963
961,1936
1393,1946
654,1940
1617,1945
840,1872
1200,1914
1762,1953
755,1939
633,1946
1510,1937
1142,1874
1195,1884
43,1927
1180,1919
1392,1955
109,1926
1325,1938
990,1909
241,1960
1342,1949
1003,1901
1642,1956
27,1926
1190,1899
15,1947
1265,1933
136,1928
486,1939
239,1945
59,1926
1635,1954
1229,1927
1324,1913
1097,1930
1131,1895
183,1944
774,1889
1692,1946
612,1928
1130,1930
1303,1945
1544,1921
892,1930
1258,1930
272,1908
1127,1941
92,1904
1194,1942
1346,1932
1567,1962
1537,1971
285,1886
1532,1951
1235,1922
641,1958
1371,1974
1653,1925
1660,1940
1119,1942
681,1947
991,1926
1212,1940
1423,1958
299,1949
224,1899
154,1920
982,1893
858,1910
1643,1966
1357,1948
1339,1951
1470,1964
122,1924
1193,1920
754,1952
1354,1962
1712,1874
1559,1952
1374,1957
687,1924
696,1935
1106,1928
1387,1948
1267,1893
33,1947
329,1903
1006,1902
1480,1945
1675,1958
402,1925
1373,1952
477,1920
970,1944
398,1903
726,1956
165,1925
1502,1942
1401,1934
1659,1937
1327,1958
1768,1955
1582,1969
647,1942
1029,1941
209,1936
1721,1955
1158,1932
677,1909
575,1947
38,1934
1138,1918
768,1905
1657,1912
382,1912
302,1942
1471,1882
644,1885
595,1904
115,1925
425,1866
1738,1935
294,1945
1716,1966
913,1911
1411,1965
801,1941
617,1942
1226,1872
46,1907
387,1932
701,1917
562,1955
1632,1953
1454,1925
1418,1954
16,1942
1007,1869
1506,1969
1671,1945
127,1909
876,1916
781,1925
937,1932
1571,1948
1735,1967
626,1947
807,1887
133,1922
889,1946
1711,1969
904,1916
526,1947
223,1898
724,1913
422,1949
716,1940
443,1929
662,1928
954,1940
1637,1939
1230,1921
1031,1913
661,1931
583,1950
541,1950
1278,1889
1638,1954
1079,1936
230,1949
211,1917
1333,1928
174,1939
160,1949
350,1924
1396,1960
200,1926
449,1948
1483,1951
532,1951
1576,1903
1604,1941
182,1936
1620,1941
337,1904
1500,1953
1452,1956
682,1937
1424,1939
1395,1944
455,1935
264,1940
506,1932
921,1911
1587,1955
388,1915
538,1923
587,1914
508,1871
1581,1936
1320,1943
1358,1956
52,1905
979,1938
790,1926
635,1927
369,1962
1628,1946
1505,1935
762,1905
1451,1940
711,1928
493,1912
1687,1910
1737,1945
1160,1948
714,1953
236,1911
498,1901
918,1949
826,1887
539,1883
1302,1883
1612,1949
257,1917
330,1912
218,1943
1486,1947
166,1915
1518,1967
64,1911
161,1881
1100,1933
710,1878
484,1913
1178,1952
805,1929
1698,1938
1689,1953
1284,1897
827,1951
1752,1884
793,1919
1667,1940
1580,1957
1753,1947
1205,1938
730,1947
492,1922
202,1945
919,1931
615,1923
1605,1953
1068,1899
798,1952
1264,1942
391,1926
1199,1935
1776,1961
1218,1894
1027,1924
746,1934
1268,1905
23,1947
974,1947
836,1902
88,1956
875,1945
1469,1958
629,1925
1622,1951
406,1926
585,1921
891,1908
738,1912
411,1943
1420,1951
1732,1943
1570,1950
308,1914
1727,1975
1527,1932
1349,1970
483,1915
573,1924
694,1917
1734,1944
1494,1948
1326,1902
340,1929
743,1949
620,1899
1656,1941
558,1939
1282,1923
75,1919
1208,1933
1182,1943
157,1906
885,1935
292,1882
1647,1908
812,1920
1314,1935
766,1925
1644,1950
1497,1966
1713,1933
1148,1884
407,1950
360,1910
1036,1956
1508,1941
1044,1928
390,1909
560,1914
1191,1943
817,1950
1055,1939
1599,1964
300,1919
546,1906
1453,1947
1150,1914
1070,1934
1114,1945
158,1955
54,1921
1764,1950
1717,1967
1425,1958
729,1892
1767,1970
67,1918
39,1963
1400,1905
1250,1943
1322,1865
543,1894
935,1897
409,1909
610,1886
93,1911
128,1930
623,1925
856,1944
697,1882
1304,1881
637,1939
934,1930
296,1955
516,1951
1588,1956
365,1885
1746,1944
1359,1972
1152,1935
597,1934
600,1935
419,1949
429,1893
353,1920
1704,1934
205,1881
1319,1885
1777,1935
978,1921
378,1874
1524,1951
233,1903
700,1946
1415,1954
22,1912
432,1923
198,1916
438,1950
910,1934
569,1938
820,1955
580,1905
259,1930
1066,1947
404,1948
450,1942
1441,1952
1093,1913
1398,1920
423,1895
1578,1949
28,1883
1015,1923
471,1942
289,1952
465,1938
1601,1972
1475,1941
1292,1921
395,1940
284,1954
773,1915
410,1912
1240,1922
470,1939
652,1946
172,1948
35,1922
646,1912
923,1944
1495,1945
1405,1964
1655,1968
780,1947
460,1949
1461,1953
474,1952
1030,1930
82,1924
1459,1937
712,1921
1370,1950
1560,1965
1772,1962
1287,1936
1155,1948
1501,1927
692,1913
442,1923
1351,1946
693,1874
750,1948
7,1899
1611,1945
1254,1939
1340,1966
1023,1922
1759,1906
403,1933
1103,1928
1627,1963
1388,1934
898,1947
1705,1966
1209,1930
1444,1959
96,1926
394,1916
1724,1950
215,1924
1769,1967
1315,1920
645,1867
1770,1968
668,1882
371,1947
255,1871
138,1956
1261,1934
1347,1947
311,1951
1573,1955
1577,1922
513,1929
1429,1954
148,1940
1771,1955
570,1949
670,1944
1377,1931
1485,1952
903,1940
11,1949
771,1929
916,1864
966,1894
628,1927
786,1869
322,1906
1021,1933
1173,1924
975,1925
678,1932
303,1939
466,1921
1048,1878
1585,1964
1618,1954
931,1936
156,1897
1248,1916
1271,1945
246,1887
1225,1912
689,1939
1473,1949
1018,1941
674,1879
1663,1909
767,1878
1739,1964
1084,1952
748,1946
582,1941
453,1928
1650,1965
1648,1961
1730,1966
1162,1880
146,1901
181,1932
83,1934
63,1924
908,1893
1519,1939
1723,1963
1428,1951
1308,1900
1626,1972
265,1873
655,1907
833,1899
1135,1898
196,1937
1300,1930
327,1935
1535,1938
1757,1961
1038,1950
1636,1968
1186,1948
1039,1892
334,1945
1613,1945
144,1921
1355,1939
769,1932
1372,1953
799,1932
958,1912
1476,1948
1215,1898
1382,1912
420,1951
811,1938
831,1951
1409,1939
1060,1913
847,1938
698,1933
459,1938
1116,1953
1568,1937
1128,1922
42,1948
368,1873
175,1929
242,1938
1521,1955
1572,1942
1466,1950
364,1886
237,1911
219,1886
1434,1962
310,1937
186,1945
1112,1925
1239,1885
472,1954
279,1936
1765,1966
986,1914
684,1950
1536,1944
1668,1970
1529,1936
227,1944
1472,1962
1594,1942
1159,1939
1561,1938
312,1924
104,1913
818,1922
21,1921
267,1876
431,1942
739,1942
563,1926
1014,1940
1132,1952
1312,1912
349,1931
313,1949
1555,1979
1000,1898
518,1907
1552,1957
1696,1887
680,1922
865,1942
816,1937
155,1900
1526,1966
152,1925
1654,1932
199,1936
1059,1953
886,1910
787,1847
309,1904
987,1951
956,1882
26,1922
578,1929
278,1949
619,1931
1192,1940
275,1928
1309,1953
1253,1926
1224,1943
1665,1955
690,1934
1693,1939
509,1923
968,1927
1540,1949
212,1944
1008,1912
194,1935
1430,1963
720,1916
1639,1885
298,1894
190,1942
372,1952
1487,1943
220,1915
412,1878
1082,1932
1467,1959
1083,1944
462,1840
1686,1948
107,1896
1367,1969
884,1942
1328,1946
1445,1958
1375,1940
988,1856
167,1916
1364,1960
1323,1885
734,1941
347,1949
8,1943
594,1931
1412,1962
1399,1951
1614,1952
895,1947
1231,1928
281,1940
588,1882
514,1934
416,1947
859,1903
1549,1922
71,1870
129,1934
1316,1927
323,1908
792,1892
1381,1944
758,1878
1380,1945
1634,1959
685,1926
1298,1944
229,1926
389,1944
965,1918
869,1939
277,1946
1516,1962
446,1896
232,1949
189,1951
643,1914
132,1928
418,1935
1498,1952
648,1887
1175,1942
983,1946
86,1874
794,1924
290,1929
451,1948
222,1927
413,1948
1269,1953
1242,1894
1120,1928
295,1918
984,1926
452,1924
171,1921
362,1884
1232,1944
143,1948
657,1944
1631,1947
84,1914
627,1883
1597,1970
723,1889
1669,1948
1356,1950
159,1918
1488,1936
153,1950
348,1919
832,1945
564,1948
193,1941
405,1865
1728,1932
9,1934
1410,1945
972,1903
667,1899
260,1904
841,1920
624,1945
669,1935
80,1934
463,1891
29,1940
1677,1968
1090,1935
85,1947
1640,1963
244,1948
1019,1955
2,1923
1262,1945
250,1940
631,1905
1263,1934
1534,1922
561,1887
1276,1946
824,1911
1703,1955
1201,1878
616,1925
1341,1921
814,1944
1715,1915
614,1865
68,1937
882,1921
1035,1934
510,1957
414,1951
1419,1958
1129,1926
715,1941
1528,1947
1050,1950
1673,1945
664,1915
813,1922
1163,1925
439,1952
1774,1969
1122,1954
737,1944
81,1915
1766,1955
1203,1913
1252,1917
1067,1939
732,1957
1690,1947
809,1918
164,1905
469,1937
18,1892
184,1945
747,1922
829,1927
835,1945
1332,1933
803,1879
1016,1957
1468,1961
1697,1967
118,1949
176,1947
704,1910
888,1943
204,1928
1440,1935
1566,1933
1629,1930
1094,1953
1778,1959
1020,1890
625,1932
297,1923
1442,1929
19,1949
1562,1950
328,1957
428,1920
900,1893
1081,1943
718,1908
1515,1939
1511,1914
1565,1947
1164,1879
448,1946
1477,1970
99,1904
1722,1966
1037,1945
1482,1971
1125,1933
1490,1961
1563,1966
894,1923
147,1944
1449,1930
20,1939
140,1918
995,1957
800,1933
445,1909
1623,1966
699,1942
1542,1939
1378,1924
1439,1954
192,1920
1270,1906
1557,1959
1012,1936
217,1924
706,1932
286,1929
590,1925
1113,1948
1450,1928
479,1951
996,1894
759,1913
1277,1916
1682,1947
672,1948
933,1940
1575,1925
1433,1953
1386,1950
535,1935
1509,1940
1329,1949
1421,1943
24,1929
537,1930
126,1953
1181,1909
1651,1963
1564,1948
1285,1925
247,1934
1478,1964
304,1944
408,1943
1493,1961
980,1932
79,1921
1598,1947
1569,1894
119,1906
1348,1962
565,1943
1630,1941
103,1939
1522,1935
896,1947
231,1948
187,1949
1343,1954
1749,1970
1664,1961
1140,1910
1330,1904
243,1919
339,1905
124,1951
