V1,V2,weight
1302,1639,0.98
1302,660,0.67
1302,1761,0.45
1612,124,0.98
330,561,0.79
330,994,0.94
218,1164,0.47
218,43,0.87
218,694,0.79
218,93,0.74
218,224,0.64
1486,961,0.91
1486,537,0.86
1486,1660,0.94
166,1013,0.94
166,694,0.98
166,282,0.96
1518,229,0.66
1518,300,0.6
1518,1146,0.65
1518,1712,0.23
1518,979,0.76
64,841,0.93
161,770,0.89
161,364,0.96
161,1302,0.98
161,1126,0.69
161,994,0.8
161,1292,0.67
710,1162,0.98
710,195,0.85
1178,1689,0.99
1178,1698,0.88
1178,1298,0.93
805,486,0.92
805,1639,0.64
1698,501,0.95
1698,1097,0.93
1698,1654,0.95
1698,1316,0.91
1698,109,0.9
1689,1472,0.93
1689,93,0.65
1284,43,0.75
1284,879,0.76
827,486,0.9
827,689,0.9
827,506,0.84
827,46,0.64
827,1201,0.4
827,378,0.36
1667,886,0.75
1667,229,0.88
1667,1290,0.95
1667,1254,0.99
1667,319,0.57
1667,43,0.89
1667,1130,0.92
1580,937,0.79
1580,1516,0.96
1753,411,0.97
1753,9,0.89
1205,1118,0.7
1205,45,0.99
1205,1275,0.91
1205,578,0.93
1205,680,0.87
1205,660,0.88
1205,1322,0.4
1205,1013,0.75
1205,1164,0.51
492,353,0.98
492,1258,0.93
202,830,0.94
919,1561,0.94
1605,1712,0.35
1068,1118,0.98
1264,319,0.55
391,1203,0.89
1027,1166,0.91
1027,359,0.82
1268,977,0.86
1268,561,0.85
1268,462,0.46
1268,378,0.74
88,196,0.84
875,830,0.94
1469,873,0.95
1469,1164,0.35
1469,830,0.83
1469,1382,0.62
1469,1200,0.64
629,937,0.94
629,1085,0.98
406,1534,0.97
406,1302,0.64
406,588,0.64
406,319,0.69
406,348,0.94
406,1737,0.84
406,1409,0.89
406,1692,0.83
406,1755,0.92
406,1640,0.69
406,221,0.97
406,1282,0.98
406,1130,0.97
585,1200,0.94
585,1203,0.93
891,1302,0.79
891,972,0.96
891,996,0.88
891,1330,0.97
891,229,0.85
738,999,0.84
738,322,0.95
738,46,0.96
1420,486,0.9
1420,462,0.08
1420,1642,0.96
1570,43,0.81
308,1201,0.7
1727,652,0.76
1727,1320,0.74
1727,879,0.6
1349,39,0.94
1349,1538,0.94
483,1324,0.98
573,46,0.86
694,693,0.64
694,309,0.89
694,808,0.88
694,1190,0.85
694,977,0.76
694,560,0.98
694,1268,0.9
694,93,0.95
694,84,0.98
694,937,0.88
694,1013,0.93
694,406,0.93
1734,623,0.84
1494,406,0.82
1494,415,0.83
1326,433,0.97
1326,111,0.96
1326,285,0.87
1326,561,0.88
1326,792,0.92
1326,1639,0.86
1326,1164,0.81
1326,1190,0.98
340,1549,0.94
340,296,0.79
620,677,0.92
1656,1712,0.45
1656,1382,0.76
1656,1356,0.93
1282,1130,0.94
1282,1682,0.8
1282,979,0.88
75,614,0.55
1182,569,0.96
885,1013,0.78
885,1316,0.93
292,423,0.89
292,265,0.93
292,1148,0.98
1647,322,0.98
1647,119,0.98
1647,738,0.97
1314,1639,0.59
766,577,0.75
1497,1367,0.98
1497,1348,0.97
1497,1699,0.96
1497,1712,0.24
1497,1330,0.49
1497,1146,0.66
1713,937,0.99
1713,870,0.84
1148,1696,0.98
1148,87,0.82
407,360,0.67
407,93,0.68
407,598,0.7
407,1164,0.41
407,347,0.99
407,178,0.73
407,1549,0.77
407,1410,0.96
360,674,0.74
1036,575,0.93
390,709,0.86
560,1268,0.93
560,977,0.79
560,1190,0.88
560,46,0.94
560,525,0.55
560,694,0.98
560,93,0.98
560,1302,0.74
560,378,0.67
560,807,0.78
560,1164,0.71
560,1093,0.99
1191,1099,0.96
1191,1171,0.93
1191,621,0.98
1191,1314,0.93
817,1549,0.77
817,26,0.77
817,443,0.83
817,563,0.8
817,870,0.98
1055,858,0.76
1055,537,0.93
1599,1216,0.69
1599,39,0.99
1599,830,0.79
300,1712,0.63
300,1639,0.72
300,285,0.73
300,886,0.93
300,905,0.8
300,660,0.97
300,1518,0.6
1453,1398,0.78
1453,1203,0.72
1150,274,0.93
1070,1125,0.99
158,420,0.97
158,1558,0.96
158,1314,0.83
158,319,0.45
1764,602,0.88
1764,43,0.81
1764,229,0.8
1717,1554,0.91
1717,1748,0.77
1717,1235,0.63
1717,59,0.66
1717,879,0.66
1425,1254,0.84
1425,1356,0.93
729,1639,0.94
1767,486,0.74
1767,138,0.88
1767,199,0.72
1767,84,0.54
1767,536,0.44
67,46,0.91
67,506,0.88
67,1654,0.88
39,469,0.79
39,827,0.9
39,598,0.6
39,46,0.54
39,733,0.54
39,777,0.99
39,1191,0.83
1400,272,0.98
1400,62,0.99
1400,1569,0.91
1400,577,0.92
1322,1639,0.83
1322,1158,0.45
1322,733,0.65
1322,1152,0.42
1322,319,0.81
1322,462,0.79
1322,46,0.65
1322,1308,0.71
1322,1549,0.53
1322,486,0.39
1322,1772,0.2
543,1188,1.0
543,111,0.98
543,1639,0.93
935,71,0.78
935,563,0.76
610,1322,0.83
93,807,0.8
93,560,0.98
93,694,0.95
93,1713,0.82
93,1689,0.65
93,1448,0.74
93,1655,0.53
128,319,0.65
128,1639,0.63
128,1258,1.0
128,319,0.65
623,43,0.98
623,879,0.99
856,1712,0.42
697,1302,0.99
697,1712,0.93
637,231,0.93
637,1538,0.8
934,1200,0.87
934,322,0.8
296,937,0.81
1588,793,0.69
365,539,0.98
365,1639,1.0
1746,442,0.83
1746,1712,0.42
1359,1378,0.6
1152,900,0.65
1152,1322,0.42
1152,693,0.5
1152,733,0.77
1152,986,0.83
429,224,0.95
353,1258,0.92
205,1322,0.87
205,588,0.99
205,1162,0.99
1319,792,0.94
1319,783,0.66
1777,300,0.87
1777,891,0.78
1777,1330,0.74
378,365,0.91
378,1639,0.91
378,1,0.94
378,1201,0.97
378,543,0.83
378,1007,0.96
378,319,0.88
378,1164,0.96
700,258,0.85
22,46,0.96
198,178,0.99
198,644,0.74
438,629,0.79
569,257,0.83
569,1457,0.83
580,864,0.87
259,770,0.49
259,1007,0.5
1066,1323,0.49
1093,319,0.79
1093,1639,0.77
1093,929,0.79
1398,406,0.95
1398,1382,0.93
1398,478,0.84
423,1054,0.93
423,899,0.63
423,1003,0.95
423,322,0.91
423,235,0.99
423,1712,0.83
423,990,0.88
423,462,0.55
28,166,0.74
28,1263,0.58
471,84,0.77
471,1677,0.79
465,1555,0.66
1475,742,1.0
1475,1164,0.49
1475,595,0.69
1475,93,0.75
1475,1316,0.88
1475,486,0.98
1475,1322,0.37
1292,694,0.97
1292,1268,0.87
395,965,0.82
284,1322,0.26
284,39,0.93
284,1446,0.91
284,1627,0.93
284,873,0.98
773,1270,0.93
773,1200,0.99
773,577,0.83
773,664,1.0
773,1203,0.98
773,542,0.97
773,391,0.91
410,655,0.96
1240,355,0.94
470,952,0.92
652,1208,0.89
172,1755,0.9
172,1302,0.46
35,46,0.88
35,406,0.97
35,221,0.93
35,1534,1.0
646,229,0.88
646,1756,0.86
646,1302,0.76
646,1551,0.63
1495,1570,0.96
1655,296,0.89
780,625,0.88
780,188,0.93
460,679,0.93
1461,1682,0.95
474,783,0.79
1030,319,0.65
82,75,0.96
82,572,0.77
82,1327,0.72
1459,631,0.74
1459,623,0.9
1459,442,0.88
1459,1745,0.93
1370,1191,0.94
1560,864,0.64
1560,529,0.7
1560,43,0.69
1772,733,0.55
1287,709,0.64
1287,1639,0.58
1287,1130,0.95
1287,886,0.79
1155,274,0.79
1155,1761,0.99
1155,1463,0.93
1501,462,0.28
1501,525,0.44
692,107,0.86
692,733,0.95
442,879,0.98
442,285,0.69
442,1467,0.7
442,1746,0.83
442,1604,0.85
1351,505,0.97
1351,1347,0.99
693,18,0.85
693,285,0.9
693,1639,0.91
693,364,0.9
693,644,0.91
1611,80,0.91
1611,1619,0.93
1611,1712,0.41
1611,1302,0.49
1254,229,0.89
1254,886,0.76
1023,655,0.88
1759,1322,0.66
1759,501,0.79
1103,421,0.92
1103,57,0.88
1103,709,0.7
1103,709,0.7
1627,873,0.91
1627,1664,0.98
1627,1709,0.93
1627,827,0.9
1627,284,0.93
1388,623,0.93
1388,80,1.0
1388,1302,0.58
1209,322,0.8
1209,1549,0.93
1209,242,0.93
1209,459,0.93
1444,1638,0.96
96,1639,0.66
96,229,1.0
1724,1499,0.98
1724,1426,0.93
1724,1614,0.98
1724,1302,0.45
1724,1577,0.77
215,998,0.96
215,1241,0.92
1769,1670,0.88
1769,1500,0.88
1769,1062,0.64
1769,43,0.67
1315,168,0.85
1315,595,0.87
645,916,0.98
645,614,0.98
1770,1373,0.87
371,322,0.66
371,961,0.91
255,1201,0.94
1261,537,0.97
1261,462,0.22
1347,660,0.8
1347,1302,0.47
1347,1692,0.99
311,378,0.36
311,477,0.74
311,518,0.64
311,1164,0.4
311,507,0.93
1573,873,0.98
1573,918,0.95
1577,1025,0.93
1577,46,0.88
1577,1382,0.92
1577,1712,0.6
513,46,0.82
1429,88,0.98
1429,247,0.83
1771,1558,0.96
570,406,0.81
1377,211,0.88
1377,46,0.8
1377,423,0.7
1377,322,0.79
1485,1741,0.97
1485,1692,0.95
1485,1712,0.36
903,830,0.98
11,572,0.98
11,1327,0.93
916,645,0.98
628,886,0.86
628,1254,0.9
786,767,0.93
786,462,0.76
786,112,0.38
322,999,0.89
322,733,0.99
322,1647,0.98
322,46,0.99
322,319,0.85
322,1190,0.94
322,87,1.0
322,1549,0.87
322,694,0.91
1021,856,0.91
1021,95,0.95
1173,1639,0.68
678,168,0.75
466,1200,0.94
466,319,0.73
466,701,0.97
1048,509,0.63
1048,1302,0.96
1048,1755,0.52
1048,662,0.59
931,406,0.92
246,134,0.64
1225,1006,0.92
1225,493,1.0
1225,982,0.84
1225,319,0.8
1225,1414,0.74
689,733,0.74
689,486,1.0
689,742,0.98
689,1100,0.95
689,1010,0.75
1473,684,0.99
1018,1302,0.52
1018,378,0.45
1018,1013,0.73
1663,319,0.83
1663,1696,0.82
1663,423,0.88
1663,1754,0.64
767,1322,0.89
767,91,0.93
767,134,0.72
1739,1400,0.51
748,1549,0.8
748,43,0.84
582,1224,0.98
453,606,0.84
453,807,0.66
1648,883,0.76
1730,289,0.88
1162,588,0.98
181,1128,0.92
181,127,0.81
63,462,0.31
63,1123,0.82
1519,1335,0.84
1519,588,0.53
1519,1684,0.72
1723,1446,0.98
1723,1665,0.93
1308,667,0.99
1308,1639,0.88
1308,1302,0.86
1308,807,0.89
1308,285,0.88
1308,462,0.5
1308,1007,0.74
1308,134,0.54
1308,319,0.9
1308,443,0.76
1626,1538,0.93
265,46,0.72
265,1178,0.35
655,322,0.99
655,1647,0.99
655,67,0.91
655,319,0.84
655,938,0.97
655,443,0.82
655,1023,0.88
833,449,0.6
1135,709,0.95
1300,977,0.65
327,998,0.95
1535,142,0.83
1757,859,0.52
1038,420,0.99
1186,67,0.75
1186,46,0.66
1186,93,0.69
1613,883,0.89
144,826,0.72
144,1200,0.94
1355,879,0.89
1355,623,0.88
769,537,0.98
1372,1258,0.81
1372,998,0.8
958,134,0.44
958,43,0.88
958,501,0.83
1476,1398,0.77
1476,1455,0.97
1476,1387,1.0
1382,886,0.98
1382,1712,0.69
1382,1577,0.92
1382,588,0.75
1382,1639,0.78
1382,1656,0.76
420,905,0.93
420,1510,0.88
811,394,0.82
811,421,0.83
811,57,0.79
811,46,0.74
811,1506,0.74
1409,1534,0.86
1409,43,0.9
1060,378,0.68
1060,1316,0.88
1060,43,0.88
1060,547,0.99
1060,1302,0.75
459,302,0.97
459,381,0.99
459,471,0.97
459,1297,0.97
459,694,0.83
459,562,0.86
459,1549,0.87
459,421,0.83
459,558,0.99
1568,1628,0.93
1568,221,0.94
1568,799,0.96
1568,302,0.96
1568,704,0.78
1128,59,0.97
1128,573,0.98
1128,237,0.91
1128,127,0.89
1128,337,0.85
1128,977,0.72
1128,807,0.71
1128,1268,0.86
42,43,0.83
368,462,0.73
175,1308,0.76
242,459,1.0
242,1639,0.56
1521,1463,0.99
1521,623,0.75
1521,879,0.76
1572,1558,0.93
1572,1771,0.89
1466,886,0.67
364,1639,0.99
364,693,0.9
237,410,0.99
237,768,0.95
237,337,0.94
237,59,0.88
237,1158,0.83
219,220,0.76
219,265,0.89
219,255,0.88
219,141,0.99
219,1148,0.98
1434,1451,0.82
310,883,0.96
1239,1190,0.88
1239,235,0.93
1239,1322,0.83
1239,674,0.95
1239,767,0.94
1239,826,0.98
472,1164,0.38
1765,1760,0.91
986,462,0.39
986,733,0.94
986,1200,1.0
986,276,0.99
986,1010,0.96
986,1056,0.93
986,319,0.79
684,590,0.79
684,501,0.85
684,407,1.0
1536,1599,0.83
1668,885,0.71
1668,1302,0.28
1529,439,0.87
1529,1199,0.99
227,43,0.86
227,224,0.63
227,1164,0.46
227,406,0.85
227,1102,0.88
227,1316,0.86
1472,694,0.63
1472,93,0.58
1594,937,0.92
1159,46,0.74
1561,919,0.94
818,1013,0.88
818,93,0.91
818,1085,0.95
818,937,0.92
818,1171,0.9
818,274,0.99
818,783,0.97
818,611,0.96
818,43,0.96
818,785,0.96
818,590,0.98
818,192,0.98
818,46,0.88
818,1322,0.53
818,1164,0.64
818,841,0.98
818,488,0.99
21,487,0.98
21,608,0.99
21,46,0.88
431,785,0.88
431,402,0.86
431,891,0.72
563,826,0.68
563,423,0.74
563,46,0.84
563,211,0.93
1312,982,0.84
1312,319,0.8
1312,46,0.96
313,1554,0.94
1555,43,0.57
1000,319,0.92
1000,46,0.93
1000,498,0.98
518,1322,0.65
518,378,0.73
518,423,0.9
680,1200,0.93
680,46,0.88
680,1322,0.53
680,1013,0.88
680,1134,0.99
680,1302,0.68
816,1549,0.88
816,75,0.85
155,1639,0.88
155,368,0.78
155,1330,0.97
155,930,0.62
1526,128,0.7
152,694,0.93
152,1263,0.93
1654,537,0.98
1654,67,0.88
1654,1690,0.88
199,660,0.89
199,142,0.84
199,1767,0.72
1059,360,0.64
1059,684,0.98
886,229,0.87
886,1302,0.78
886,1639,0.79
886,193,0.74
309,999,0.91
309,322,0.98
309,694,0.89
987,394,0.71
987,1647,0.64
26,1549,1.0
26,1255,0.98
26,325,0.98
26,563,0.97
26,211,0.96
578,1302,0.62
278,1401,0.88
278,1262,0.97
619,1047,0.98
619,55,0.98
275,46,0.83
275,1292,0.94
275,1639,0.64
275,1129,0.98
1309,538,0.75
1253,1013,0.85
1224,46,0.7
1224,1538,0.83
1224,300,0.8
1665,689,0.87
1665,827,0.97
690,450,0.93
1693,155,0.68
1693,886,0.76
968,1639,0.65
1540,155,0.6
1540,879,0.81
1540,1062,0.79
1540,1302,0.45
1008,1201,0.72
1430,1692,0.86
720,46,0.93
720,1200,0.98
720,319,0.77
720,733,0.93
1639,1322,0.83
1639,368,0.9
1639,539,0.98
1639,668,0.98
1639,588,0.98
1639,319,0.98
298,237,0.86
1487,43,0.87
1487,998,0.88
1487,59,0.86
220,219,0.76
412,588,0.97
412,1322,0.89
1082,823,0.93
1082,1083,0.9
1467,1146,0.72
1467,43,0.74
1467,319,0.41
1083,1082,0.9
1083,823,0.97
462,46,0.45
462,1549,0.32
462,253,0.32
1686,1742,1.0
1686,299,0.99
107,900,0.98
107,1020,0.95
107,1054,0.92
107,444,0.95
107,462,0.54
1367,1398,0.6
884,937,0.92
1445,3,0.77
1375,1639,0.55
1375,46,0.73
1375,488,0.86
1375,818,0.85
1375,1292,0.84
988,792,0.7
988,1319,0.76
988,1195,0.77
167,1258,0.88
167,1352,0.83
1364,462,0.01
1364,577,0.46
1364,1622,0.93
1364,1387,0.9
1323,462,0.63
734,1067,0.98
734,1327,0.86
347,381,0.9
8,229,0.86
8,300,0.8
8,1330,0.68
594,1201,0.56
594,46,0.8
594,733,0.8
594,444,0.66
1614,785,0.79
1614,1130,0.82
1614,1164,0.4
1614,1150,0.69
895,497,0.67
895,378,0.4
1231,357,0.98
1231,286,0.99
1231,1302,0.63
1231,812,0.93
1231,1643,0.69
281,46,0.73
588,1639,0.98
514,1403,0.94
416,1258,0.86
416,1352,0.91
859,1330,0.99
859,217,0.83
859,1302,0.83
859,229,0.81
859,236,0.93
1549,26,1.0
1549,319,0.72
1549,1322,0.53
1549,462,0.32
1549,211,0.96
1549,87,0.87
1549,62,0.87
71,185,0.97
1316,977,0.68
1316,1013,0.84
1316,1322,0.49
1316,109,0.99
1316,693,0.56
792,807,0.96
792,937,0.67
792,977,0.97
1380,143,0.98
1634,501,0.78
1634,451,0.91
1634,1386,0.93
685,799,0.95
685,1639,0.66
1298,235,0.59
1298,1698,0.95
229,886,0.87
229,217,0.98
229,300,0.94
229,1302,0.64
229,406,1.0
229,193,0.88
389,302,0.98
389,469,0.94
389,1504,0.95
965,45,0.83
965,888,0.79
965,154,0.98
869,423,0.64
869,265,0.45
277,43,0.84
277,357,0.87
277,873,0.95
277,1749,0.8
1516,302,0.83
1516,434,0.91
446,1639,0.91
446,319,0.93
446,1712,0.82
232,1164,0.42
189,694,0.72
189,488,0.77
643,1639,0.76
643,1302,0.74
643,235,0.83
643,171,0.94
643,1063,0.99
643,994,0.93
1498,1417,0.92
1498,1258,0.82
1498,128,0.82
648,1322,0.82
648,710,0.93
648,595,0.86
648,486,0.57
983,1639,0.5
983,702,0.88
983,331,0.75
290,1186,0.84
451,783,0.82
413,1316,0.83
413,109,0.82
413,785,0.83
413,1171,0.88
413,933,0.93
1269,1268,0.6
1269,462,0.07
1269,977,0.46
1269,411,0.92
1269,40,0.76
1242,529,0.71
1242,1007,0.79
1242,378,0.83
1120,46,0.83
1120,693,0.55
1120,1548,0.85
1120,1164,0.6
295,1134,0.98
295,646,0.95
295,1639,0.73
295,1363,0.94
984,735,0.96
171,378,0.61
171,1302,0.69
171,1639,0.7
362,141,0.98
1232,785,0.86
1232,459,0.95
143,366,0.98
143,1380,0.98
143,1224,0.96
143,1712,0.39
657,1302,0.5
657,1582,0.79
657,1398,0.8
657,1454,0.84
84,1242,0.83
84,1322,0.6
84,1200,1.0
84,694,0.98
84,93,0.98
84,1063,0.99
84,1767,0.54
627,1639,0.98
627,18,0.93
1597,870,0.85
1669,694,0.74
1356,1712,0.37
1356,1345,0.98
1356,43,0.81
159,1740,0.7
348,406,0.94
348,1048,0.66
348,674,0.67
348,235,0.79
832,1164,0.45
832,807,0.52
564,1253,0.82
564,1171,0.88
193,80,0.94
193,902,0.99
193,1639,0.54
193,886,0.74
193,1534,0.84
9,165,0.93
9,86,0.5
1410,319,0.53
1410,486,0.95
1410,501,0.89
972,1639,0.85
972,1330,0.99
972,1414,0.67
667,1308,0.99
260,462,0.47
260,1201,0.79
841,378,0.62
624,43,0.85
80,1611,0.91
80,902,0.93
80,193,0.94
463,1304,0.92
1090,455,1.0
85,1356,0.98
1262,965,0.78
1262,611,0.85
250,886,0.75
250,295,0.82
250,1254,0.99
631,560,0.93
631,694,0.9
1263,694,0.86
1263,1164,0.55
1534,406,0.97
1534,886,0.9
1276,1302,0.48
1703,224,0.54
1703,538,0.74
1201,1549,0.64
1201,462,0.69
1201,525,0.84
1201,444,0.9
1201,255,0.94
1201,265,0.96
1201,378,0.97
616,629,1.0
1341,1023,0.99
814,182,0.93
1715,884,0.78
614,319,0.81
68,1129,0.91
68,693,0.48
68,1025,0.95
68,1756,0.93
68,1150,0.81
68,1013,0.76
68,406,0.91
882,3,0.93
882,1200,0.94
510,694,0.67
1419,1548,0.9
1419,1358,0.98
1419,1263,0.8
1129,694,0.93
1129,1085,0.98
1129,937,0.95
715,5,0.85
715,1134,0.83
715,45,0.98
1528,304,0.98
1528,1146,0.82
1528,1400,0.65
1528,486,0.93
1528,1382,0.71
1528,979,0.93
1050,535,0.88
1050,1548,0.97
664,423,0.83
664,1201,0.69
664,1322,0.59
664,288,0.96
664,1454,0.92
813,1190,0.81
813,1639,0.69
813,1164,0.64
813,27,0.97
813,785,0.96
813,1101,0.99
813,1085,0.95
813,1150,0.93
1163,406,0.99
1163,1316,0.98
439,537,0.82
439,970,0.93
439,1529,0.87
1774,43,0.65
1774,1164,0.26
1774,807,0.32
1774,1663,0.5
1122,816,0.86
1122,572,0.98
737,297,0.83
737,879,0.85
1766,623,0.75
1766,879,0.76
1203,537,0.86
1203,1302,0.75
1252,618,0.93
1067,816,0.98
1690,1654,0.88
1690,937,0.88
809,305,0.95
809,46,0.91
809,1660,0.82
164,437,1.0
164,423,0.92
164,1003,0.97
164,1200,0.93
164,1549,0.86
18,285,0.95
18,1639,0.94
18,693,0.85
18,319,0.97
18,644,0.94
829,537,0.98
829,260,0.81
803,1322,0.88
803,265,0.95
803,255,0.93
803,319,0.93
803,1639,0.95
803,423,0.87
803,378,0.96
803,539,0.97
803,900,0.88
803,365,0.95
803,219,0.94
803,362,0.96
803,1201,0.99
803,368,0.95
803,786,0.92
1016,501,0.79
1016,1297,0.88
1468,1366,0.96
1468,1354,0.99
1468,1382,0.6
1468,1712,0.28
118,1268,0.64
704,1164,0.74
704,1323,0.79
704,977,0.82
704,46,0.98
704,733,0.98
704,709,0.85
704,302,0.74
888,826,0.54
888,856,0.99
204,1680,0.83
1566,173,0.95
1566,1086,0.84
1094,811,0.88
1094,741,0.79
1094,589,0.89
1778,812,0.68
1778,709,0.45
1020,1054,0.97
1020,899,0.59
625,780,0.88
625,910,0.98
297,229,0.98
1442,623,0.97
1442,879,0.98
1442,43,0.98
19,319,0.5
1562,421,0.74
1562,1639,0.46
1562,80,0.87
428,46,0.89
428,1199,0.88
428,1322,0.55
900,1054,0.94
900,462,0.56
1081,755,0.97
1081,1258,0.89
718,908,0.88
718,46,0.99
718,87,0.98
718,836,0.95
718,423,0.89
1515,1604,0.98
1515,879,0.89
1515,961,0.98
1565,856,0.98
1164,1639,0.95
1164,1322,0.88
448,823,0.95
448,1083,0.98
448,1082,0.88
99,1190,0.96
99,1164,0.79
99,807,0.86
99,1322,0.68
1482,1410,0.79
1125,477,0.89
1125,701,0.87
1490,1722,0.96
1490,900,0.44
1563,777,0.97
1563,1627,0.98
894,615,1.0
894,1270,0.86
894,1200,0.93
894,664,0.93
894,1203,0.92
894,1164,0.64
147,1258,0.88
147,537,0.88
1449,1302,0.61
1449,1164,0.58
1449,537,1.0
20,84,0.79
140,1164,0.68
1623,537,0.7
1542,1302,0.54
1542,468,0.98
1439,1639,0.43
192,807,0.73
192,319,0.74
1270,322,1.0
1270,1647,0.98
1270,1200,0.93
1270,1322,0.66
1012,1090,0.99
1012,976,0.96
217,886,0.88
217,229,0.98
217,1330,0.83
217,96,0.98
217,660,0.99
217,229,0.98
217,300,0.96
217,317,0.98
217,1302,0.66
706,229,0.95
706,886,0.82
706,994,0.78
706,1682,0.88
286,961,0.94
286,55,0.96
590,1308,0.79
590,977,0.69
1113,319,0.5
479,1538,0.9
996,1639,0.93
996,1330,0.92
996,891,0.88
996,972,0.93
996,539,0.91
759,677,0.97
1682,1282,0.8
933,1308,0.67
933,694,0.81
933,482,0.99
1575,144,0.97
1575,709,0.73
1575,434,0.79
1433,662,0.79
1433,694,0.7
535,537,0.96
1509,1510,0.98
1509,62,0.72
1421,612,0.88
1421,501,0.91
1421,1203,0.75
1421,486,0.97
24,693,0.55
24,84,0.88
24,937,0.98
24,1549,0.94
537,937,0.98
537,644,0.63
537,561,0.64
537,1322,0.46
537,1055,0.93
537,1449,1.0
537,39,0.73
537,486,0.93
126,1201,0.38
126,444,0.48
126,594,0.82
126,1075,0.62
126,1549,0.74
1651,1705,0.98
304,486,0.96
1493,709,0.43
1493,1643,0.96
1493,228,0.98
1598,43,0.83
1598,319,0.51
1569,588,0.9
1569,62,0.9
1569,18,0.98
1569,319,0.95
1569,272,0.88
1569,1400,0.91
1569,1164,0.88
119,1639,0.83
119,319,0.85
119,423,0.91
119,322,1.0
119,164,0.99
1348,1485,0.92
1348,80,0.77
1630,1308,0.66
1630,1639,0.54
103,1164,0.5
103,1013,0.74
1522,1454,0.92
1522,1639,0.59
896,631,0.65
896,1099,0.93
896,1191,0.97
896,547,0.73
231,637,0.93
1343,1201,0.37
1343,1123,0.57
1749,62,0.47
1749,1645,0.98
1749,1398,0.59
1749,983,0.8
1664,697,0.35
1664,1712,0.28
1330,1639,0.84
1330,1302,0.83
1330,319,0.87
1330,300,0.88
1330,229,0.82
1330,217,0.83
1330,1164,0.79
1330,1356,0.62
243,127,0.92
339,195,0.93
339,594,0.79
339,1322,0.67
339,1639,0.83
339,486,0.72
339,112,0.68
124,510,0.95
124,1016,0.95
124,1101,0.77
