"source","target","value"
"942","406","0.64"
"942","694","0.72"
"942","96","0.64"
"942","1216","0.64"
"942","805","0.62"
"942","378","0.93"
"942","588","0.99"
"942","807","0.97"
"942","156","0.88"
"942","933","0.53"
"942","643","0.74"
"942","660","0.67"
"1216","124","0.98"
"252","561","0.79"
"252","994","0.94"
"156","1164","0.47"
"156","43","0.87"
"156","694","0.79"
"156","93","0.74"
"156","224","0.64"
"1103","961","0.91"
"1103","537","0.86"
"118","1013","0.94"
"118","694","0.98"
"118","282","0.96"
"1133","229","0.66"
"1133","300","0.6"
"1133","1146","0.65"
"1133","979","0.76"
"47","841","0.93"
"115","770","0.89"
"115","364","0.96"
"115","1302","0.98"
"115","1126","0.69"
"115","994","0.8"
"115","1292","0.67"
"538","1162","0.98"
"538","195","0.85"
"859","1298","0.93"
"609","486","0.92"
"1298","501","0.95"
"1298","1097","0.93"
"1298","1316","0.91"
"1298","109","0.9"
"1289","93","0.65"
"931","43","0.75"
"931","879","0.76"
"625","486","0.9"
"625","689","0.9"
"625","506","0.84"
"625","46","0.64"
"625","1201","0.4"
"625","378","0.36"
"1270","886","0.75"
"1270","229","0.88"
"1270","1290","0.95"
"1270","1254","0.99"
"1270","319","0.57"
"1270","43","0.89"
"1270","1130","0.92"
"1191","937","0.79"
"1350","411","0.97"
"1350","9","0.89"
"878","1118","0.7"
"878","45","0.99"
"878","1275","0.91"
"878","578","0.93"
"878","680","0.87"
"878","660","0.88"
"878","1322","0.4"
"878","1013","0.75"
"878","1164","0.51"
"375","353","0.98"
"375","1258","0.93"
"147","830","0.94"
"788","1118","0.98"
"916","319","0.55"
"291","1203","0.89"
"759","1166","0.91"
"759","359","0.82"
"919","977","0.86"
"919","561","0.85"
"919","462","0.46"
"919","378","0.74"
"64","196","0.84"
"650","830","0.94"
"1088","873","0.95"
"1088","1164","0.35"
"1088","830","0.83"
"1088","1200","0.64"
"476","937","0.94"
"476","1085","0.98"
"302","1302","0.64"
"302","588","0.64"
"302","319","0.69"
"302","348","0.94"
"302","221","0.97"
"302","1282","0.98"
"302","1130","0.97"
"440","1200","0.94"
"440","1203","0.93"
"665","1302","0.79"
"665","972","0.96"
"665","996","0.88"
"665","1330","0.97"
"665","229","0.85"
"560","999","0.84"
"560","322","0.95"
"560","46","0.96"
"1045","486","0.9"
"1045","462","0.08"
"1181","43","0.81"
"234","1201","0.7"
"1325","652","0.76"
"1325","1320","0.74"
"1325","879","0.6"
"981","39","0.94"
"369","1324","0.98"
"428","46","0.86"
"525","693","0.64"
"525","309","0.89"
"525","808","0.88"
"525","1190","0.85"
"525","977","0.76"
"525","560","0.98"
"525","1268","0.9"
"525","93","0.95"
"525","84","0.98"
"525","937","0.88"
"525","1013","0.93"
"525","406","0.93"
"1332","623","0.84"
"1111","406","0.82"
"1111","415","0.83"
"960","433","0.97"
"960","111","0.96"
"960","285","0.87"
"960","561","0.88"
"960","792","0.92"
"960","1164","0.81"
"960","1190","0.98"
"260","296","0.79"
"468","677","0.92"
"1259","1356","0.93"
"930","1130","0.94"
"930","979","0.88"
"52","614","0.55"
"862","569","0.96"
"660","1013","0.78"
"660","1316","0.93"
"219","423","0.89"
"219","265","0.93"
"219","1148","0.98"
"1250","322","0.98"
"1250","119","0.98"
"1250","738","0.97"
"577","577","0.75"
"1114","1367","0.98"
"1114","1348","0.97"
"1114","1330","0.49"
"1114","1146","0.66"
"1312","937","0.99"
"1312","870","0.84"
"839","87","0.82"
"303","360","0.67"
"303","93","0.68"
"303","598","0.7"
"303","1164","0.41"
"303","347","0.99"
"303","178","0.73"
"270","674","0.74"
"766","575","0.93"
"290","709","0.86"
"417","1268","0.93"
"417","977","0.79"
"417","1190","0.88"
"417","46","0.94"
"417","525","0.55"
"417","694","0.98"
"417","93","0.98"
"417","1302","0.74"
"417","378","0.67"
"417","807","0.78"
"417","1164","0.71"
"417","1093","0.99"
"867","1099","0.96"
"867","1171","0.93"
"867","621","0.98"
"867","1314","0.93"
"618","26","0.77"
"618","443","0.83"
"618","563","0.8"
"618","870","0.98"
"779","858","0.76"
"779","537","0.93"
"1208","1216","0.69"
"1208","39","0.99"
"1208","830","0.79"
"227","285","0.73"
"227","886","0.93"
"227","905","0.8"
"227","660","0.97"
"1075","1203","0.72"
"840","274","0.93"
"789","1125","0.99"
"112","420","0.97"
"112","1314","0.83"
"112","319","0.45"
"1361","602","0.88"
"1361","43","0.81"
"1361","229","0.8"
"1316","1235","0.63"
"1316","59","0.66"
"1316","879","0.66"
"1049","1254","0.84"
"1049","1356","0.93"
"1364","486","0.74"
"1364","138","0.88"
"1364","199","0.72"
"1364","84","0.54"
"1364","536","0.44"
"48","46","0.91"
"48","506","0.88"
"29","469","0.79"
"29","827","0.9"
"29","598","0.6"
"29","46","0.54"
"29","733","0.54"
"29","777","0.99"
"29","1191","0.83"
"1027","272","0.98"
"1027","62","0.99"
"1027","577","0.92"
"956","1158","0.45"
"956","733","0.65"
"956","1152","0.42"
"956","319","0.81"
"956","462","0.79"
"956","46","0.65"
"956","1308","0.71"
"956","486","0.39"
"407","1188","1"
"407","111","0.98"
"701","71","0.78"
"701","563","0.76"
"459","1322","0.83"
"68","807","0.8"
"68","560","0.98"
"68","694","0.95"
"88","319","0.65"
"88","1258","1"
"88","319","0.65"
"470","43","0.98"
"470","879","0.99"
"527","1302","0.99"
"481","231","0.93"
"700","1200","0.87"
"700","322","0.8"
"223","937","0.81"
"1198","793","0.69"
"273","539","0.98"
"1344","442","0.83"
"842","900","0.65"
"842","1322","0.42"
"842","693","0.5"
"842","733","0.77"
"842","986","0.83"
"323","224","0.95"
"266","1258","0.92"
"149","1322","0.87"
"149","588","0.99"
"149","1162","0.99"
"954","792","0.94"
"954","783","0.66"
"1374","300","0.87"
"1374","891","0.78"
"1374","1330","0.74"
"284","365","0.91"
"284","1","0.94"
"284","1201","0.97"
"284","543","0.83"
"284","1007","0.96"
"284","319","0.88"
"284","1164","0.96"
"530","258","0.85"
"16","46","0.96"
"144","178","0.99"
"144","644","0.74"
"329","629","0.79"
"424","257","0.83"
"435","864","0.87"
"193","770","0.49"
"193","1007","0.5"
"786","1323","0.49"
"802","319","0.79"
"802","929","0.79"
"1025","406","0.95"
"1025","478","0.84"
"318","1054","0.93"
"318","899","0.63"
"318","1003","0.95"
"318","322","0.91"
"318","235","0.99"
"318","990","0.88"
"318","462","0.55"
"21","166","0.74"
"21","1263","0.58"
"357","84","0.77"
"1094","742","1"
"1094","1164","0.49"
"1094","595","0.69"
"1094","93","0.75"
"1094","1316","0.88"
"1094","486","0.98"
"1094","1322","0.37"
"936","694","0.97"
"936","1268","0.87"
"295","965","0.82"
"212","1322","0.26"
"212","39","0.93"
"212","873","0.98"
"584","1270","0.93"
"584","1200","0.99"
"584","577","0.83"
"584","664","1"
"584","1203","0.98"
"584","542","0.97"
"584","391","0.91"
"306","655","0.96"
"898","355","0.94"
"356","952","0.92"
"492","1208","0.89"
"122","1302","0.46"
"26","46","0.88"
"26","406","0.97"
"26","221","0.93"
"487","229","0.88"
"487","1302","0.76"
"1258","296","0.89"
"589","625","0.88"
"589","188","0.93"
"348","679","0.93"
"360","783","0.79"
"762","319","0.65"
"58","75","0.96"
"58","572","0.77"
"58","1327","0.72"
"1081","631","0.74"
"1081","623","0.9"
"1081","442","0.88"
"999","1191","0.94"
"1171","864","0.64"
"1171","529","0.7"
"1171","43","0.69"
"1369","733","0.55"
"933","709","0.64"
"933","1130","0.95"
"933","886","0.79"
"844","274","0.79"
"1118","462","0.28"
"1118","525","0.44"
"523","107","0.86"
"523","733","0.95"
"332","879","0.98"
"332","285","0.69"
"983","505","0.97"
"983","1347","0.99"
"524","18","0.85"
"524","285","0.9"
"524","364","0.9"
"524","644","0.91"
"1215","80","0.91"
"1215","1302","0.49"
"907","229","0.89"
"907","886","0.76"
"756","655","0.88"
"1356","1322","0.66"
"1356","501","0.79"
"809","421","0.92"
"809","57","0.88"
"809","709","0.7"
"809","709","0.7"
"1230","873","0.91"
"1230","827","0.9"
"1230","284","0.93"
"1015","623","0.93"
"1015","80","1"
"1015","1302","0.58"
"881","322","0.8"
"881","242","0.93"
"881","459","0.93"
"70","229","1"
"1322","1302","0.45"
"154","998","0.96"
"154","1241","0.92"
"1366","1062","0.64"
"1366","43","0.67"
"950","168","0.85"
"950","595","0.87"
"486","916","0.98"
"486","614","0.98"
"1367","1373","0.87"
"279","322","0.66"
"279","961","0.91"
"189","1201","0.94"
"913","537","0.97"
"913","462","0.22"
"979","660","0.8"
"979","1302","0.47"
"237","378","0.36"
"237","477","0.74"
"237","518","0.64"
"237","1164","0.4"
"237","507","0.93"
"1184","873","0.98"
"1184","918","0.95"
"1188","1025","0.93"
"1188","46","0.88"
"390","46","0.82"
"1052","88","0.98"
"1052","247","0.83"
"425","406","0.81"
"1006","211","0.88"
"1006","46","0.8"
"1006","423","0.7"
"1006","322","0.79"
"676","830","0.98"
"8","572","0.98"
"8","1327","0.93"
"687","645","0.98"
"475","886","0.86"
"475","1254","0.9"
"595","767","0.93"
"595","462","0.76"
"595","112","0.38"
"245","999","0.89"
"245","733","0.99"
"245","46","0.99"
"245","319","0.85"
"245","1190","0.94"
"245","87","1"
"245","694","0.91"
"755","856","0.91"
"755","95","0.95"
"512","168","0.75"
"353","1200","0.94"
"353","319","0.73"
"353","701","0.97"
"775","509","0.63"
"775","1302","0.96"
"775","662","0.59"
"697","406","0.92"
"183","134","0.64"
"888","1006","0.92"
"888","493","1"
"888","982","0.84"
"888","319","0.8"
"521","733","0.74"
"521","486","1"
"521","742","0.98"
"521","1100","0.95"
"521","1010","0.75"
"1092","684","0.99"
"752","1302","0.52"
"752","378","0.45"
"752","1013","0.73"
"1266","319","0.83"
"1266","423","0.88"
"578","1322","0.89"
"578","91","0.93"
"578","134","0.72"
"567","43","0.84"
"437","1224","0.98"
"342","606","0.84"
"342","807","0.66"
"1251","883","0.76"
"1328","289","0.88"
"849","588","0.98"
"129","1128","0.92"
"129","127","0.81"
"46","462","0.31"
"46","1123","0.82"
"1134","1335","0.84"
"1134","588","0.53"
"945","667","0.99"
"945","1302","0.86"
"945","807","0.89"
"945","285","0.88"
"945","462","0.5"
"945","1007","0.74"
"945","134","0.54"
"945","319","0.9"
"945","443","0.76"
"196","46","0.72"
"196","1178","0.35"
"495","322","0.99"
"495","67","0.91"
"495","319","0.84"
"495","938","0.97"
"495","443","0.82"
"495","1023","0.88"
"630","449","0.6"
"832","709","0.95"
"941","977","0.65"
"249","998","0.95"
"1149","142","0.83"
"1354","859","0.52"
"768","420","0.99"
"863","67","0.75"
"863","46","0.66"
"863","93","0.69"
"1217","883","0.89"
"102","826","0.72"
"102","1200","0.94"
"986","879","0.89"
"986","623","0.88"
"580","537","0.98"
"1001","1258","0.81"
"1001","998","0.8"
"709","134","0.44"
"709","43","0.88"
"709","501","0.83"
"1011","886","0.98"
"1011","588","0.75"
"315","905","0.93"
"613","394","0.82"
"613","421","0.83"
"613","57","0.79"
"613","46","0.74"
"1034","43","0.9"
"783","378","0.68"
"783","1316","0.88"
"783","43","0.88"
"783","547","0.99"
"783","1302","0.75"
"347","302","0.97"
"347","381","0.99"
"347","471","0.97"
"347","1297","0.97"
"347","694","0.83"
"347","562","0.86"
"347","421","0.83"
"347","558","0.99"
"1179","221","0.94"
"1179","799","0.96"
"1179","302","0.96"
"1179","704","0.78"
"826","59","0.97"
"826","573","0.98"
"826","237","0.91"
"826","127","0.89"
"826","337","0.85"
"826","977","0.72"
"826","807","0.71"
"826","1268","0.86"
"31","43","0.83"
"276","462","0.73"
"125","1308","0.76"
"179","459","1"
"1135","623","0.75"
"1135","879","0.76"
"1085","886","0.67"
"272","693","0.9"
"174","410","0.99"
"174","768","0.95"
"174","337","0.94"
"174","59","0.88"
"174","1158","0.83"
"157","220","0.76"
"157","265","0.89"
"157","255","0.88"
"157","141","0.99"
"157","1148","0.98"
"236","883","0.96"
"897","1190","0.88"
"897","235","0.93"
"897","1322","0.83"
"897","674","0.95"
"897","767","0.94"
"897","826","0.98"
"358","1164","0.38"
"728","462","0.39"
"728","733","0.94"
"728","1200","1"
"728","276","0.99"
"728","1010","0.96"
"728","1056","0.93"
"728","319","0.79"
"518","590","0.79"
"518","501","0.85"
"518","407","1"
"1271","885","0.71"
"1271","1302","0.28"
"1143","439","0.87"
"1143","1199","0.99"
"164","43","0.86"
"164","224","0.63"
"164","1164","0.46"
"164","406","0.85"
"164","1102","0.88"
"164","1316","0.86"
"1091","694","0.63"
"1091","93","0.58"
"1203","937","0.92"
"847","46","0.74"
"1172","919","0.94"
"619","1013","0.88"
"619","93","0.91"
"619","1085","0.95"
"619","937","0.92"
"619","1171","0.9"
"619","274","0.99"
"619","783","0.97"
"619","611","0.96"
"619","43","0.96"
"619","785","0.96"
"619","590","0.98"
"619","192","0.98"
"619","46","0.88"
"619","1322","0.53"
"619","1164","0.64"
"619","841","0.98"
"619","488","0.99"
"15","487","0.98"
"15","608","0.99"
"15","46","0.88"
"324","785","0.88"
"324","402","0.86"
"324","891","0.72"
"420","826","0.68"
"420","423","0.74"
"420","46","0.84"
"420","211","0.93"
"948","982","0.84"
"948","319","0.8"
"948","46","0.96"
"1166","43","0.57"
"740","319","0.92"
"740","46","0.93"
"740","498","0.98"
"393","1322","0.65"
"393","378","0.73"
"393","423","0.9"
"514","1200","0.93"
"514","46","0.88"
"514","1322","0.53"
"514","1013","0.88"
"514","1134","0.99"
"514","1302","0.68"
"617","75","0.85"
"109","368","0.78"
"109","1330","0.97"
"109","930","0.62"
"1140","128","0.7"
"106","694","0.93"
"106","1263","0.93"
"1257","537","0.98"
"1257","67","0.88"
"145","660","0.89"
"145","142","0.84"
"782","360","0.64"
"782","684","0.98"
"661","229","0.87"
"661","1302","0.78"
"661","193","0.74"
"235","999","0.91"
"235","322","0.98"
"235","694","0.89"
"729","394","0.71"
"19","1255","0.98"
"19","325","0.98"
"19","563","0.97"
"19","211","0.96"
"433","1302","0.62"
"206","1262","0.97"
"467","1047","0.98"
"467","55","0.98"
"203","46","0.83"
"203","1292","0.94"
"203","1129","0.98"
"946","538","0.75"
"906","1013","0.85"
"887","46","0.7"
"887","300","0.8"
"1268","689","0.87"
"1268","827","0.97"
"522","450","0.93"
"1293","155","0.68"
"1293","886","0.76"
"1154","155","0.6"
"1154","879","0.81"
"1154","1062","0.79"
"1154","1302","0.45"
"745","1201","0.72"
"546","46","0.93"
"546","1200","0.98"
"546","319","0.77"
"546","733","0.93"
"1242","1322","0.83"
"1242","368","0.9"
"1242","539","0.98"
"1242","668","0.98"
"1242","588","0.98"
"1242","319","0.98"
"225","237","0.86"
"1104","43","0.87"
"1104","998","0.88"
"1104","59","0.86"
"158","219","0.76"
"308","588","0.97"
"308","1322","0.89"
"794","823","0.93"
"794","1083","0.9"
"1086","1146","0.72"
"1086","43","0.74"
"1086","319","0.41"
"795","1082","0.9"
"795","823","0.97"
"350","46","0.45"
"350","253","0.32"
"1286","299","0.99"
"75","900","0.98"
"75","1020","0.95"
"75","1054","0.92"
"75","444","0.95"
"75","462","0.54"
"659","937","0.92"
"1067","3","0.77"
"1004","46","0.73"
"1004","488","0.86"
"1004","818","0.85"
"1004","1292","0.84"
"730","792","0.7"
"730","1319","0.76"
"730","1195","0.77"
"119","1258","0.88"
"119","1352","0.83"
"993","462","0.01"
"993","577","0.46"
"957","462","0.63"
"556","1067","0.98"
"556","1327","0.86"
"261","381","0.9"
"6","229","0.86"
"6","300","0.8"
"6","1330","0.68"
"446","1201","0.56"
"446","46","0.8"
"446","733","0.8"
"446","444","0.66"
"1218","785","0.79"
"1218","1130","0.82"
"1218","1164","0.4"
"1218","1150","0.69"
"668","497","0.67"
"668","378","0.4"
"892","357","0.98"
"892","286","0.99"
"892","1302","0.63"
"892","812","0.93"
"209","46","0.73"
"312","1258","0.86"
"312","1352","0.91"
"639","1330","0.99"
"639","217","0.83"
"639","1302","0.83"
"639","229","0.81"
"639","236","0.93"
"1161","26","1"
"1161","319","0.72"
"1161","1322","0.53"
"1161","462","0.32"
"1161","211","0.96"
"1161","87","0.87"
"1161","62","0.87"
"51","185","0.97"
"951","977","0.68"
"951","1013","0.84"
"951","1322","0.49"
"951","109","0.99"
"951","693","0.56"
"600","807","0.96"
"600","937","0.67"
"600","977","0.97"
"1009","143","0.98"
"1237","501","0.78"
"1237","451","0.91"
"519","799","0.95"
"940","235","0.59"
"166","886","0.87"
"166","217","0.98"
"166","300","0.94"
"166","1302","0.64"
"166","406","1"
"166","193","0.88"
"289","302","0.98"
"289","469","0.94"
"712","45","0.83"
"712","888","0.79"
"712","154","0.98"
"646","423","0.64"
"646","265","0.45"
"205","43","0.84"
"205","357","0.87"
"205","873","0.95"
"1131","302","0.83"
"1131","434","0.91"
"336","319","0.93"
"169","1164","0.42"
"137","694","0.72"
"137","488","0.77"
"484","1302","0.74"
"484","235","0.83"
"484","171","0.94"
"484","1063","0.99"
"484","994","0.93"
"1115","1258","0.82"
"1115","128","0.82"
"489","1322","0.82"
"489","710","0.93"
"489","595","0.86"
"489","486","0.57"
"726","702","0.88"
"726","331","0.75"
"217","1186","0.84"
"340","783","0.82"
"309","1316","0.83"
"309","109","0.82"
"309","785","0.83"
"309","1171","0.88"
"309","933","0.93"
"920","1268","0.6"
"920","462","0.07"
"920","977","0.46"
"920","411","0.92"
"920","40","0.76"
"900","529","0.71"
"900","1007","0.79"
"900","378","0.83"
"819","46","0.83"
"819","693","0.55"
"819","1164","0.6"
"222","1134","0.98"
"222","646","0.95"
"222","1363","0.94"
"727","735","0.96"
"121","378","0.61"
"121","1302","0.69"
"271","141","0.98"
"893","785","0.86"
"893","459","0.95"
"101","366","0.98"
"101","1224","0.96"
"497","1302","0.5"
"60","1242","0.83"
"60","1322","0.6"
"60","1200","1"
"60","694","0.98"
"60","93","0.98"
"60","1063","0.99"
"474","18","0.93"
"1206","870","0.85"
"1272","694","0.74"
"987","1345","0.98"
"987","43","0.81"
"262","406","0.94"
"262","1048","0.66"
"262","674","0.67"
"262","235","0.79"
"629","1164","0.45"
"629","807","0.52"
"421","1253","0.82"
"421","1171","0.88"
"140","80","0.94"
"140","902","0.99"
"140","886","0.74"
"7","165","0.93"
"7","86","0.5"
"1035","319","0.53"
"1035","486","0.95"
"1035","501","0.89"
"716","1330","0.99"
"505","1308","0.99"
"194","462","0.47"
"194","1201","0.79"
"634","378","0.62"
"471","43","0.85"
"56","902","0.93"
"56","193","0.94"
"351","1304","0.92"
"799","455","1"
"61","1356","0.98"
"914","965","0.78"
"914","611","0.85"
"185","886","0.75"
"185","295","0.82"
"185","1254","0.99"
"478","560","0.93"
"478","694","0.9"
"915","694","0.86"
"915","1164","0.55"
"1148","406","0.97"
"1148","886","0.9"
"925","1302","0.48"
"1303","224","0.54"
"1303","538","0.74"
"876","462","0.69"
"876","525","0.84"
"876","444","0.9"
"876","255","0.94"
"876","265","0.96"
"876","378","0.97"
"464","629","1"
"973","1023","0.99"
"616","182","0.93"
"1314","884","0.78"
"462","319","0.81"
"49","1129","0.91"
"49","693","0.48"
"49","1025","0.95"
"49","1150","0.81"
"49","1013","0.76"
"49","406","0.91"
"657","3","0.93"
"657","1200","0.94"
"389","694","0.67"
"1044","1358","0.98"
"1044","1263","0.8"
"827","694","0.93"
"827","1085","0.98"
"827","937","0.95"
"542","5","0.85"
"542","1134","0.83"
"542","45","0.98"
"1142","304","0.98"
"1142","1146","0.82"
"1142","486","0.93"
"1142","979","0.93"
"776","535","0.88"
"503","423","0.83"
"503","1201","0.69"
"503","1322","0.59"
"503","288","0.96"
"615","1190","0.81"
"615","1164","0.64"
"615","27","0.97"
"615","785","0.96"
"615","1101","0.99"
"615","1085","0.95"
"615","1150","0.93"
"850","406","0.99"
"850","1316","0.98"
"330","537","0.82"
"330","970","0.93"
"1371","43","0.65"
"1371","1164","0.26"
"1371","807","0.32"
"820","816","0.86"
"820","572","0.98"
"559","297","0.83"
"559","879","0.85"
"1363","623","0.75"
"1363","879","0.76"
"877","537","0.86"
"877","1302","0.75"
"905","618","0.93"
"787","816","0.98"
"1290","937","0.88"
"612","305","0.95"
"612","46","0.91"
"116","437","1"
"116","423","0.92"
"116","1003","0.97"
"116","1200","0.93"
"12","285","0.95"
"12","693","0.85"
"12","319","0.97"
"12","644","0.94"
"626","537","0.98"
"626","260","0.81"
"608","1322","0.88"
"608","265","0.95"
"608","255","0.93"
"608","319","0.93"
"608","423","0.87"
"608","378","0.96"
"608","539","0.97"
"608","900","0.88"
"608","365","0.95"
"608","219","0.94"
"608","362","0.96"
"608","1201","0.99"
"608","368","0.95"
"608","786","0.92"
"751","501","0.79"
"751","1297","0.88"
"1087","1366","0.96"
"1087","1354","0.99"
"80","1268","0.64"
"533","1164","0.74"
"533","1323","0.79"
"533","977","0.82"
"533","46","0.98"
"533","733","0.98"
"533","709","0.85"
"533","302","0.74"
"663","826","0.54"
"663","856","0.99"
"1177","173","0.95"
"1177","1086","0.84"
"803","811","0.88"
"803","741","0.79"
"803","589","0.89"
"1375","812","0.68"
"1375","709","0.45"
"754","1054","0.97"
"754","899","0.59"
"472","780","0.88"
"472","910","0.98"
"224","229","0.98"
"1064","623","0.97"
"1064","879","0.98"
"1064","43","0.98"
"13","319","0.5"
"1173","421","0.74"
"1173","80","0.87"
"322","46","0.89"
"322","1199","0.88"
"322","1322","0.55"
"673","1054","0.94"
"673","462","0.56"
"793","755","0.97"
"793","1258","0.89"
"545","908","0.88"
"545","46","0.99"
"545","87","0.98"
"545","836","0.95"
"545","423","0.89"
"1130","879","0.89"
"1130","961","0.98"
"1176","856","0.98"
"851","1322","0.88"
"337","823","0.95"
"337","1083","0.98"
"337","1082","0.88"
"71","1190","0.96"
"71","1164","0.79"
"71","807","0.86"
"71","1322","0.68"
"823","477","0.89"
"823","701","0.87"
"1107","900","0.44"
"1174","777","0.97"
"667","615","1"
"667","1270","0.86"
"667","1200","0.93"
"667","664","0.93"
"667","1203","0.92"
"667","1164","0.64"
"104","1258","0.88"
"104","537","0.88"
"1071","1302","0.61"
"1071","1164","0.58"
"1071","537","1"
"14","84","0.79"
"98","1164","0.68"
"1227","537","0.7"
"1156","1302","0.54"
"1156","468","0.98"
"139","807","0.73"
"139","319","0.74"
"921","322","1"
"921","1200","0.93"
"921","1322","0.66"
"747","1090","0.99"
"747","976","0.96"
"155","886","0.88"
"155","229","0.98"
"155","1330","0.83"
"155","96","0.98"
"155","660","0.99"
"155","229","0.98"
"155","300","0.96"
"155","317","0.98"
"155","1302","0.66"
"535","229","0.95"
"535","886","0.82"
"535","994","0.78"
"214","961","0.94"
"214","55","0.96"
"444","1308","0.79"
"444","977","0.69"
"813","319","0.5"
"737","1330","0.92"
"737","891","0.88"
"737","972","0.93"
"737","539","0.91"
"573","677","0.97"
"1283","1282","0.8"
"699","1308","0.67"
"699","694","0.81"
"699","482","0.99"
"1186","144","0.97"
"1186","709","0.73"
"1186","434","0.79"
"1056","662","0.79"
"1056","694","0.7"
"400","537","0.96"
"1126","62","0.72"
"1046","612","0.88"
"1046","501","0.91"
"1046","1203","0.75"
"1046","486","0.97"
"18","693","0.55"
"18","84","0.88"
"18","937","0.98"
"402","937","0.98"
"402","644","0.63"
"402","561","0.64"
"402","1322","0.46"
"402","1055","0.93"
"402","39","0.73"
"402","486","0.93"
"86","1201","0.38"
"86","444","0.48"
"86","594","0.82"
"86","1075","0.62"
"231","486","0.96"
"1110","709","0.43"
"1110","228","0.98"
"1207","43","0.83"
"1207","319","0.51"
"1180","588","0.9"
"1180","62","0.9"
"1180","18","0.98"
"1180","319","0.95"
"1180","272","0.88"
"1180","1164","0.88"
"81","319","0.85"
"81","423","0.91"
"81","322","1"
"81","164","0.99"
"980","80","0.77"
"1233","1308","0.66"
"72","1164","0.5"
"72","1013","0.74"
"669","631","0.65"
"669","1099","0.93"
"669","1191","0.97"
"669","547","0.73"
"168","637","0.93"
"975","1201","0.37"
"975","1123","0.57"
"1346","62","0.47"
"1346","983","0.8"
"1267","697","0.35"
"964","1302","0.83"
"964","319","0.87"
"964","300","0.88"
"964","229","0.82"
"964","217","0.83"
"964","1164","0.79"
"964","1356","0.62"
"180","127","0.92"
"259","195","0.93"
"259","594","0.79"
"259","1322","0.67"
"259","486","0.72"
"259","112","0.68"
"85","510","0.95"
"85","1016","0.95"
"85","1101","0.77"
